beginyear,medium,imageurl,decade,hex_color
1490,sculpture,"https://api.nga.gov/iiif/db6c3a6a-b19a-4f7b-a713-800c933344dc/full/!200,200/0/default.jpg",1490,"55, 51, 46"
1473,sculpture,"https://api.nga.gov/iiif/f7a22e34-da22-499e-b71f-56e891d7a364/full/!200,200/0/default.jpg",1470,"77, 76, 71"
1498,decorative art,"https://api.nga.gov/iiif/0a676de0-99e9-4a6a-8145-ea84ab871c22/full/!200,200/0/default.jpg",1490,"70, 49, 26"
1480,print,"https://api.nga.gov/iiif/94ee3252-2066-4f59-93b7-2c79f2f82eab/full/!200,200/0/default.jpg",1480,"127, 117, 106"
1473,sculpture,"https://api.nga.gov/iiif/b0149ff7-dede-4eb0-b196-e325521a1a19/full/!200,200/0/default.jpg",1470,"49, 47, 42"
1475,sculpture,"https://api.nga.gov/iiif/3a1d0ace-e207-495c-a988-2319cbf076b6/full/!200,200/0/default.jpg",1470,"79, 52, 38"
1425,sculpture,"https://api.nga.gov/iiif/5271678f-864d-4620-8ffa-16324facf7f5/full/!200,200/0/default.jpg",1420,"86, 70, 50"
1475,sculpture,"https://api.nga.gov/iiif/ee7406bd-40c9-43ee-8609-52b672d6cb0e/full/!200,200/0/default.jpg",1470,"200, 193, 190"
1475,drawing,"https://api.nga.gov/iiif/b472133d-967e-4606-8d03-3a9b45f20be4/full/!200,200/0/default.jpg",1470,"178, 156, 126"
1480,sculpture,"https://api.nga.gov/iiif/c4c95ba1-df2a-42d8-a816-0f63c3f2387a/full/!200,200/0/default.jpg",1480,"146, 130, 113"
1491,drawing,"https://api.nga.gov/iiif/4def26b7-1dc6-4688-81a9-1f1d01a4a709/full/!200,200/0/default.jpg",1490,"156, 144, 122"
1460,print,"https://api.nga.gov/iiif/4d875da6-cb80-4c15-bab8-b73cf063c680/full/!200,200/0/default.jpg",1460,"175, 148, 118"
1450,sculpture,"https://api.nga.gov/iiif/a4330c6b-a872-4dda-9549-1fdbbdbbda21/full/!200,200/0/default.jpg",1450,"57, 45, 37"
1472,print,"https://api.nga.gov/iiif/aa5ce66a-4dda-44da-911a-f6ad8e0e285b/full/!200,200/0/default.jpg",1470,"168, 150, 128"
1443,sculpture,"https://api.nga.gov/iiif/394bd4cd-9518-40bc-a547-5a6e19f5df64/full/!200,200/0/default.jpg",1440,"79, 58, 43"
1473,print,"https://api.nga.gov/iiif/13af6215-c6dd-4853-8a73-0b645b6733b6/full/!200,200/0/default.jpg",1470,"153, 136, 116"
1497,print,"https://api.nga.gov/iiif/4350f8af-ef20-4028-9b27-48f9c3da5fa3/full/!200,200/0/default.jpg",1490,"169, 158, 142"
1470,sculpture,"https://api.nga.gov/iiif/4d712296-2240-4fef-8da3-fb9ad3d8fb3c/full/!200,200/0/default.jpg",1470,"91, 72, 51"
1450,sculpture,"https://api.nga.gov/iiif/627708e5-d3ec-4809-a683-f58771f21c19/full/!200,200/0/default.jpg",1450,"145, 139, 136"
1480,sculpture,"https://api.nga.gov/iiif/687e5b78-3417-4e20-8db4-8372b3f139d9/full/!200,200/0/default.jpg",1480,"49, 46, 44"
1452,sculpture,"https://api.nga.gov/iiif/12fea642-3045-4a6b-beb4-c3312c131e8e/full/!200,200/0/default.jpg",1450,"56, 45, 30"
1483,sculpture,"https://api.nga.gov/iiif/fcfa3209-acfb-4878-be3c-ff665be8275f/full/!200,200/0/default.jpg",1480,"61, 51, 41"
1480,sculpture,"https://api.nga.gov/iiif/80ad057a-52e3-48d2-aaf0-6c35b7a647ae/full/!200,200/0/default.jpg",1480,"66, 46, 28"
1488,sculpture,"https://api.nga.gov/iiif/98b82e4a-43ea-47c1-ac21-4a4e192a2601/full/!200,200/0/default.jpg",1480,"64, 51, 33"
1496,print,"https://api.nga.gov/iiif/a5aca0e1-a7d3-4d40-abf8-dd52be41f3ca/full/!200,200/0/default.jpg",1490,"173, 162, 146"
1470,print,"https://api.nga.gov/iiif/6e113d8f-ebf1-4bf0-a97b-c3056b47f2e1/full/!200,200/0/default.jpg",1470,"136, 127, 115"
1470,sculpture,"https://api.nga.gov/iiif/05690471-53c4-4e0d-92b9-7cc83da4429c/full/!200,200/0/default.jpg",1470,"57, 51, 43"
