beginyear,medium,imageurl,decade,DominantColorRGB,PaletteRGB
1450,sculpture,"https://api.nga.gov/iiif/5ebbcf13-48e6-4e68-addf-f5a017ebc801/full/!200,200/0/default.jpg",1400,"(204, 204, 204)","(204, 204, 204), (74, 69, 65), (130, 127, 124), (109, 108, 99), (108, 108, 108)"
1454,sculpture,"https://api.nga.gov/iiif/ff5bb9f0-cd5c-41e2-965f-39057c58c688/full/!200,200/0/default.jpg",1400,"(223, 223, 223)","(83, 75, 68), (223, 223, 223), (146, 141, 137), (126, 124, 116), (122, 124, 124)"
1454,print,"https://api.nga.gov/iiif/33dcb7a5-9e85-4c3e-b25c-8ae649da653d/full/!200,200/0/default.jpg",1400,"(236, 223, 197)","(236, 224, 198), (116, 102, 86), (166, 149, 128), (148, 133, 106), (140, 132, 118)"
1455,sculpture,"https://api.nga.gov/iiif/a988cfd6-d312-4790-b6b8-b76fdbb5e513/full/!200,200/0/default.jpg",1400,"(78, 70, 64)","(50, 44, 41), (131, 120, 107), (102, 90, 80), (114, 107, 100), (116, 116, 109)"
1455,print,"https://api.nga.gov/iiif/6ee7cb18-74eb-4040-8abb-b6c462d8a85d/full/!200,200/0/default.jpg",1400,"(149, 136, 120)","(149, 136, 120), (95, 85, 74), (214, 202, 184), (196, 179, 156), (194, 179, 164)"
1457,sculpture,"https://api.nga.gov/iiif/1b25ecda-2c85-4a55-bf66-3483a1656b1f/full/!200,200/0/default.jpg",1400,"(51, 40, 34)","(46, 37, 31), (126, 100, 85), (164, 136, 117), (146, 132, 120), (140, 123, 116)"
1460,print,"https://api.nga.gov/iiif/9f4ff4ea-78f3-4aed-a82f-f5344d443296/full/!200,200/0/default.jpg",1500,"(196, 181, 155)","(203, 188, 162), (97, 87, 76), (129, 117, 99), (116, 99, 81), (120, 108, 83)"
1460,print,"https://api.nga.gov/iiif/5ca569bd-2a71-42a1-af7b-25d3e7273c3f/full/!200,200/0/default.jpg",1700,"(218, 197, 173)","(220, 199, 174), (107, 99, 87), (156, 144, 129), (140, 123, 109), (148, 133, 108)"
1460,sculpture,"https://api.nga.gov/iiif/270c87d1-a8be-41dd-8f92-a05443ca1199/full/!200,200/0/default.jpg",1400,"(34, 27, 23)","(32, 26, 21), (139, 123, 110), (94, 79, 68), (115, 108, 99), (112, 100, 100)"
1465,volume,"https://api.nga.gov/iiif/9e3820cc-8292-45aa-8878-f8f9dcabf63c/full/!200,200/0/default.jpg",1700,"(238, 230, 210)","(238, 230, 210), (124, 114, 91), (174, 164, 142), (156, 148, 126), (152, 140, 124)"
1465,sculpture,"https://api.nga.gov/iiif/f3bcd432-530f-4bc9-9cf0-6944758286ca/full/!200,200/0/default.jpg",1400,"(66, 53, 40)","(89, 72, 56), (5, 5, 5), (172, 151, 130), (146, 131, 117), (148, 140, 124)"
1465,print,"https://api.nga.gov/iiif/2d33a111-8f8b-401f-85bb-437dcf9f8976/full/!200,200/0/default.jpg",1700,"(195, 179, 157)","(196, 180, 158), (99, 91, 81), (132, 122, 110), (117, 106, 94), (130, 117, 92)"
1465,sculpture,"https://api.nga.gov/iiif/26a69a39-58ee-4f20-9cc8-3504dc3baf08/full/!200,200/0/default.jpg",1400,"(35, 30, 24)","(35, 30, 24), (144, 132, 120), (119, 110, 97), (98, 88, 75), (112, 100, 92)"
1466,print,"https://api.nga.gov/iiif/70e506e3-520b-488a-b9e5-0312ffa1e235/full/!200,200/0/default.jpg",1400,"(120, 105, 89)","(120, 105, 89), (230, 211, 179), (203, 180, 148), (181, 163, 136), (201, 188, 172)"
1470,print,"https://api.nga.gov/iiif/35613ecb-2b7b-469f-acea-a297b0cd8b51/full/!200,200/0/default.jpg",1400,"(224, 207, 178)","(224, 207, 178), (134, 117, 97), (174, 156, 131), (156, 140, 117), (158, 140, 108)"
1470,print,"https://api.nga.gov/iiif/5c21a32f-348b-40d5-afbf-7b25772b8a75/full/!200,200/0/default.jpg",1600,"(176, 159, 137)","(181, 164, 141), (84, 70, 55), (121, 106, 88), (108, 92, 68), (108, 84, 66)"
1470,print,"https://api.nga.gov/iiif/f7c9aaa0-d3c5-42e1-b41f-80253f5f2203/full/!200,200/0/default.jpg",1800,"(118, 102, 85)","(118, 102, 85), (231, 210, 183), (176, 157, 132), (195, 180, 154), (191, 172, 156)"
1470,sculpture,"https://api.nga.gov/iiif/0b952dc9-9f85-4097-8b3c-1474e8053a87/full/!200,200/0/default.jpg",1400,"(80, 72, 64)","(80, 72, 64), (134, 122, 109), (123, 116, 102), (14, 13, 12), (116, 107, 108)"
1470,print,"https://api.nga.gov/iiif/b0a7032f-0168-476b-8e84-285e76d0529d/full/!200,200/0/default.jpg",1600,"(234, 226, 208)","(235, 227, 209), (105, 95, 82), (171, 160, 143), (140, 132, 111), (148, 134, 116)"
1470,sculpture,"https://api.nga.gov/iiif/0af7c213-c116-489f-8372-28ffe5a1d045/full/!200,200/0/default.jpg",1400,"(239, 239, 239)","(239, 239, 239), (86, 81, 74), (133, 123, 111), (161, 158, 154), (149, 136, 121)"
1470,sculpture,"https://api.nga.gov/iiif/4c07b69f-cee7-4e6c-babb-b12b9d165b9a/full/!200,200/0/default.jpg",1400,"(94, 83, 70)","(94, 83, 71), (223, 217, 208), (161, 155, 148), (185, 179, 172), (180, 172, 163)"
1470,print,"https://api.nga.gov/iiif/3c7adfb8-e35c-40c3-a424-adad6fa0a19a/full/!200,200/0/default.jpg",1700,"(195, 180, 161)","(197, 182, 162), (97, 90, 80), (130, 121, 110), (116, 108, 92), (116, 100, 93)"
1470,print,"https://api.nga.gov/iiif/c00628a3-3498-4731-b4b1-d327a6a10a8b/full/!200,200/0/default.jpg",1400,"(204, 187, 161)","(204, 186, 161), (81, 69, 61), (110, 97, 85), (136, 121, 105), (124, 107, 83)"
1470,drawing,"https://api.nga.gov/iiif/28134766-7d5e-4cdb-b057-82de3341ee96/full/!200,200/0/default.jpg",1400,"(166, 146, 117)","(167, 146, 118), (236, 222, 197), (101, 82, 58), (117, 92, 64), (124, 100, 60)"
1470,print,"https://api.nga.gov/iiif/dc5c1cb0-4aa8-4053-ae0c-901a78e37585/full/!200,200/0/default.jpg",1400,"(207, 189, 164)","(210, 192, 167), (81, 68, 58), (136, 120, 103), (110, 98, 87), (109, 94, 73)"
1470,print,"https://api.nga.gov/iiif/5028407b-cddc-47f3-8d91-8fffea836d3a/full/!200,200/0/default.jpg",1700,"(200, 184, 156)","(200, 184, 156), (85, 78, 68), (113, 101, 89), (136, 124, 108), (139, 117, 91)"
1470,sculpture,"https://api.nga.gov/iiif/f4866cc4-aa79-4167-9d1c-9515702a971e/full/!200,200/0/default.jpg",1400,"(66, 51, 40)","(69, 53, 42), (190, 166, 150), (144, 120, 104), (162, 145, 134), (164, 156, 148)"
