beginyear,medium,imageurl,hex_color
1503,print,"https://api.nga.gov/iiif/6ecdb43b-f4a7-46a5-8988-e75f6bd51929/full/!200,200/0/default.jpg","191, 181, 160"
1530,sculpture,"https://api.nga.gov/iiif/c7f86b9d-e0e6-43e6-8ef7-16aad456cdae/full/!200,200/0/default.jpg","54, 50, 43"
1500,drawing,"https://api.nga.gov/iiif/be1f4412-3ada-4c0b-b8c3-8ad8e1bd4add/full/!200,200/0/default.jpg","161, 138, 104"
1540,sculpture,"https://api.nga.gov/iiif/8c678791-a923-4234-97a6-729b80baa874/full/!200,200/0/default.jpg","67, 47, 34"
1500,print,"https://api.nga.gov/iiif/71ebd06b-7018-4e76-910e-d591d1c78ee3/full/!200,200/0/default.jpg","166, 151, 121"
1512,print,"https://api.nga.gov/iiif/1443592d-6f76-4b6c-ba66-681f5e6b683b/full/!200,200/0/default.jpg","140, 124, 105"
1596,print,"https://api.nga.gov/iiif/8221d2b9-a119-435b-b17f-228fda3d1ca3/full/!200,200/0/default.jpg","207, 193, 170"
1565,print,"https://api.nga.gov/iiif/b026a9ad-f33d-4eb3-9e8e-175a35c2edd9/full/!200,200/0/default.jpg","148, 134, 119"
1500,decorative art,"https://api.nga.gov/iiif/1a0b170b-3261-411f-ac43-6cce0876db09/full/!200,200/0/default.jpg","180, 167, 162"
1508,print,"https://api.nga.gov/iiif/c45fb301-0134-4b00-848a-f7af53c954fe/full/!200,200/0/default.jpg","216, 202, 178"
1515,print,"https://api.nga.gov/iiif/4e758186-b50c-4838-af81-8a0ed5031ea3/full/!200,200/0/default.jpg","146, 132, 114"
1508,print,"https://api.nga.gov/iiif/2003ebc4-e43f-4b7e-8882-06c353cb7832/full/!200,200/0/default.jpg","157, 142, 126"
1532,print,"https://api.nga.gov/iiif/e84abcb5-0c70-475a-a60e-c1eba0af2c50/full/!200,200/0/default.jpg","156, 139, 116"
1500,sculpture,"https://api.nga.gov/iiif/0be3e05e-8c19-49af-857c-56461ea4fa0d/full/!200,200/0/default.jpg","160, 156, 152"
1515,print,"https://api.nga.gov/iiif/eb9d12fc-44a7-496d-8692-bcdfbc13d889/full/!200,200/0/default.jpg","163, 151, 136"
1502,print,"https://api.nga.gov/iiif/f956b810-911a-48c4-a729-f72b45f76404/full/!200,200/0/default.jpg","142, 131, 117"
1524,sculpture,"https://api.nga.gov/iiif/105c78b0-2994-410e-b78a-aa871d23d315/full/!200,200/0/default.jpg","69, 49, 32"
1595,print,"https://api.nga.gov/iiif/bb30fcd1-6b4a-4733-8c61-70dcdf1c5b6a/full/!200,200/0/default.jpg","144, 133, 119"
1558,print,"https://api.nga.gov/iiif/be034ca5-6b8c-4c8f-80b8-3708a6c1571d/full/!200,200/0/default.jpg","151, 136, 120"
1507,print,"https://api.nga.gov/iiif/ae3b8ee9-f24e-4aae-89fb-025d732e8994/full/!200,200/0/default.jpg","137, 129, 119"
1500,decorative art,"https://api.nga.gov/iiif/7dc6dcba-779c-48eb-ab83-84463f9e9b53/full/!200,200/0/default.jpg","159, 145, 133"
1580,print,"https://api.nga.gov/iiif/ac9dd36f-cace-4c70-a701-2f1936701a42/full/!200,200/0/default.jpg","162, 155, 139"
1500,print,"https://api.nga.gov/iiif/c4a21d9e-29a2-40dc-883b-049788a2af4f/full/!200,200/0/default.jpg","191, 173, 149"
1596,print,"https://api.nga.gov/iiif/09b8d32c-03cf-4fa4-8a08-e0eed7bc1d6f/full/!200,200/0/default.jpg","207, 191, 165"
1500,sculpture,"https://api.nga.gov/iiif/5479075e-1467-4691-8778-49aff92e82b2/full/!200,200/0/default.jpg","52, 48, 41"
1552,sculpture,"https://api.nga.gov/iiif/87555eba-1cad-4db6-8a59-7db2d0d8a4b5/full/!200,200/0/default.jpg",
1575,drawing,"https://api.nga.gov/iiif/207c8a58-aa5c-4b03-b63c-6169fa8a887a/full/!200,200/0/default.jpg","231, 219, 200"
1593,print,"https://api.nga.gov/iiif/d30126b4-9971-42c8-9339-d0839dce616f/full/!200,200/0/default.jpg","213, 197, 172"
