beginyear,medium,imageurl
1830,painting,"https://api.nga.gov/iiif/1c84ef3c-698d-46c5-b1e1-6a9c60a01856/full/!200,200/0/default.jpg"
1854,painting,"https://api.nga.gov/iiif/f4c1a14d-a826-4b05-ba30-846503425393/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/d54690df-49b8-4864-8635-dca6f832f673/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/ec1d8272-6c01-41ac-8768-e2712398f065/full/!200,200/0/default.jpg"
1884,painting,"https://api.nga.gov/iiif/a65a3648-e5a9-48a5-82c6-e002562a2baa/full/!200,200/0/default.jpg"
1890,painting,"https://api.nga.gov/iiif/a65b56d8-7ae7-4a80-a84a-5a9dd7c13ea7/full/!200,200/0/default.jpg"
1854,painting,"https://api.nga.gov/iiif/b6962bc2-65cb-4f58-830d-42700f8651a4/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/c9b3fee0-c018-4647-aca8-b3b6548c0f23/full/!200,200/0/default.jpg"
1623,painting,"https://api.nga.gov/iiif/37f339d0-4e3e-4c81-bfeb-45641be22274/full/!200,200/0/default.jpg"
1495,painting,"https://api.nga.gov/iiif/a3148763-333a-4e64-ae77-bd37a93b4a34/full/!200,200/0/default.jpg"
1866,painting,"https://api.nga.gov/iiif/a7e62d78-ad31-42bd-ad65-0c694a1333e2/full/!200,200/0/default.jpg"
1803,painting,"https://api.nga.gov/iiif/5c920b45-1722-4f68-b007-fc2436934a47/full/!200,200/0/default.jpg"
1800,painting,"https://api.nga.gov/iiif/48dcb14c-b765-4f38-93f1-158085e89829/full/!200,200/0/default.jpg"
1854,painting,"https://api.nga.gov/iiif/75759cd7-2e0c-492c-a26c-eadd223144b9/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/fbfd7f9b-bc00-4cde-b2cd-b3ccd72414b5/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/800b6ecd-07d9-4674-8981-1c838614d257/full/!200,200/0/default.jpg"
1860,painting,"https://api.nga.gov/iiif/750f7d6b-ce40-4a69-9548-f936e8a3d16f/full/!200,200/0/default.jpg"
1795,painting,"https://api.nga.gov/iiif/38b09901-0c91-4d8d-802e-93d297fb406b/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/f9b6508d-16ba-47f1-83ac-78b91754f1b3/full/!200,200/0/default.jpg"
1876,painting,"https://api.nga.gov/iiif/de5e64f1-9e54-4927-8127-0da63e849f06/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/e857c807-4c6a-4467-b0d8-d1d29d902aee/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/34aa0a0e-6f59-4804-a3a0-881346daaac2/full/!200,200/0/default.jpg"
1855,painting,"https://api.nga.gov/iiif/03b921f2-0b79-407d-b49e-8f3260aa77d5/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/f1e5a21b-263b-432f-85ba-903f19496b6c/full/!200,200/0/default.jpg"
1854,painting,"https://api.nga.gov/iiif/10ba6d65-e31d-4e34-ad82-88587dfd941d/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/a58e1cd2-6514-4b4a-87a7-f6aaee5ddc32/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/bde7e0a1-6ef1-4c60-bb79-11f1775ab792/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/f6147ee0-6487-460d-8574-fd170d203a74/full/!200,200/0/default.jpg"
1865,painting,"https://api.nga.gov/iiif/c3b6258a-5fc9-4815-9491-acde75248a37/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/457c21c8-0b7e-490d-98ab-7b195da8ed2d/full/!200,200/0/default.jpg"
1520,painting,"https://api.nga.gov/iiif/70863842-4b61-4321-9996-2abee13bab49/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/96c9561e-e423-4ec0-969e-ddd8479bb7e4/full/!200,200/0/default.jpg"
1855,painting,"https://api.nga.gov/iiif/5c029a9f-d5f7-4b1d-8fe0-dff8c20fc6f3/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/7f2ea406-e2bb-4b38-8d07-106fa275137a/full/!200,200/0/default.jpg"
1855,painting,"https://api.nga.gov/iiif/b21f6398-b64d-490c-877e-956b95b9f68f/full/!200,200/0/default.jpg"
1854,painting,"https://api.nga.gov/iiif/d570ae6c-9f2f-4d78-95af-152e4a451dc9/full/!200,200/0/default.jpg"
1854,painting,"https://api.nga.gov/iiif/f4c1a14d-a826-4b05-ba30-846503425393/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/e532ae6d-708f-4e54-a259-6014efdbcea7/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/7ea90668-980f-4d44-a614-e1612cd0567a/full/!200,200/0/default.jpg"
1825,painting,"https://api.nga.gov/iiif/40bb6453-0326-4377-8ffd-872226a0e5d8/full/!200,200/0/default.jpg"
1837,painting,"https://api.nga.gov/iiif/ad1e77c8-a2c0-459f-8fd9-2928d9514642/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/09714ae7-7c7f-4e00-a33b-efff7cc1cf06/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/c961d3c9-b41b-42b0-b539-45d49b8423a2/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/42404406-6796-4738-a421-6cd5cc7bfde4/full/!200,200/0/default.jpg"
1700,painting,"https://api.nga.gov/iiif/1ff7cdea-f23a-4158-bb9a-ede300b87574/full/!200,200/0/default.jpg"
1876,painting,"https://api.nga.gov/iiif/b41b3b70-af77-439b-a980-4e1434070111/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/5a6b8044-6f5d-4bee-a82f-7a75f22be473/full/!200,200/0/default.jpg"
1890,painting,"https://api.nga.gov/iiif/92bf6016-0d0e-4739-999f-cc7e2bafcbaf/full/!200,200/0/default.jpg"
1854,painting,"https://api.nga.gov/iiif/d1d920f3-e25e-4c45-ab4b-2e15b0edabd5/full/!200,200/0/default.jpg"
1665,painting,"https://api.nga.gov/iiif/2b5b08d7-4766-4cb4-a6f6-ee700bca403a/full/!200,200/0/default.jpg"
1888,painting,"https://api.nga.gov/iiif/3185398b-fe88-4cbd-9952-e40375c86986/full/!200,200/0/default.jpg"
1891,painting,"https://api.nga.gov/iiif/ec49c7f7-2438-4522-99cd-8569985c909d/full/!200,200/0/default.jpg"
1430,painting,"https://api.nga.gov/iiif/25119c6b-17c0-4daa-8589-dfcf2d041b4f/full/!200,200/0/default.jpg"
1650,painting,"https://api.nga.gov/iiif/99356b71-7652-482d-87c2-b99b94382742/full/!200,200/0/default.jpg"
1854,painting,"https://api.nga.gov/iiif/ca98b362-68cf-42cd-a009-b6c4bf9c9309/full/!200,200/0/default.jpg"
1855,painting,"https://api.nga.gov/iiif/3bb66a1d-6b79-4a63-b397-a300ac41b6e1/full/!200,200/0/default.jpg"
1900,painting,"https://api.nga.gov/iiif/9a2be20f-86b5-45d7-8095-8cbc43015767/full/!200,200/0/default.jpg"
1867,painting,"https://api.nga.gov/iiif/8e7f5135-69b0-4e73-bdc1-26a75d45e26b/full/!200,200/0/default.jpg"
1787,painting,"https://api.nga.gov/iiif/5101996f-eaff-4f6e-80a9-f839f3e503d0/full/!200,200/0/default.jpg"
1855,painting,"https://api.nga.gov/iiif/1a542df3-b0e8-406e-aff6-868426a91006/full/!200,200/0/default.jpg"
1470,painting,"https://api.nga.gov/iiif/f2087521-95a8-42e9-b383-712221c3b31b/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/d7f45e79-4301-4461-899c-6144145f678b/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/0bb3a526-1b8b-465f-9fe5-0701b54c3cb3/full/!200,200/0/default.jpg"
1855,painting,"https://api.nga.gov/iiif/cd1d9904-0d6b-48e4-9c45-c5090bdf061f/full/!200,200/0/default.jpg"
1700,painting,"https://api.nga.gov/iiif/9586c8df-2df5-4faa-bd8e-6433bd3eee5f/full/!200,200/0/default.jpg"
1790,painting,"https://api.nga.gov/iiif/f7f44f5f-8a84-4921-85a1-a04412a6f7a9/full/!200,200/0/default.jpg"
1854,painting,"https://api.nga.gov/iiif/e20f1991-b7bb-4e01-9e8e-813157bf896a/full/!200,200/0/default.jpg"
1658,painting,"https://api.nga.gov/iiif/b75ae2ae-7836-4a96-8863-9f2e1e4eea21/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/22d3381d-2bd2-4998-a7f8-eaaffe13323e/full/!200,200/0/default.jpg"
1854,painting,"https://api.nga.gov/iiif/82a97482-8200-4aa5-827d-37e472ca8768/full/!200,200/0/default.jpg"
1847,painting,"https://api.nga.gov/iiif/132475be-828c-4c42-8b39-8da2aaaf0eae/full/!200,200/0/default.jpg"
1840,painting,"https://api.nga.gov/iiif/cb0d02e8-5452-41ab-b1ee-8b2d2e383a81/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/f8a16375-476b-4df3-8edd-8fe478992eac/full/!200,200/0/default.jpg"
1892,painting,"https://api.nga.gov/iiif/a338667a-aa34-478d-9108-d44e88acd718/full/!200,200/0/default.jpg"
1730,painting,"https://api.nga.gov/iiif/1804fdc0-8b6a-44ab-8db5-ab29d8cfa1b0/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/7ea90668-980f-4d44-a614-e1612cd0567a/full/!200,200/0/default.jpg"
1505,painting,"https://api.nga.gov/iiif/e9c8084a-335c-427b-931d-372f839b6dd9/full/!200,200/0/default.jpg"
1625,painting,"https://api.nga.gov/iiif/af3e7276-2f9f-47ab-92dd-4a79b4aa9178/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/f9c07f9f-2661-4a22-9374-d1dbf222580e/full/!200,200/0/default.jpg"
1855,painting,"https://api.nga.gov/iiif/798e9728-9270-4e95-8427-935c6b2553f2/full/!200,200/0/default.jpg"
