beginyear,medium,imageurl
1845,photograph,"https://api.nga.gov/iiif/e1d4a2ab-e57b-46fb-bae6-de616b7113cd/full/!200,200/0/default.jpg"
1500,print,"https://api.nga.gov/iiif/f416b1fe-da83-4b62-a1d3-2949ede2578d/full/!200,200/0/default.jpg"
1884,drawing,"https://api.nga.gov/iiif/242308f7-1be8-4f7f-a1b2-322bd6188583/full/!200,200/0/default.jpg"
1425,drawing,"https://api.nga.gov/iiif/dc286e6e-0762-4b0e-a463-753e8b453efb/full/!200,200/0/default.jpg"
1600,print,"https://api.nga.gov/iiif/4abe263b-03f0-46f1-9b37-3bc3049ace43/full/!200,200/0/default.jpg"
1887,photograph,"https://api.nga.gov/iiif/1b5e86a8-dc65-416e-9f27-0bce939833a4/full/!200,200/0/default.jpg"
1592,print,"https://api.nga.gov/iiif/2db77410-a61d-4659-b5e7-f34f84b57278/full/!200,200/0/default.jpg"
1600,print,"https://api.nga.gov/iiif/c965d25f-2024-4a8f-b617-91288d8fbcd2/full/!200,200/0/default.jpg"
1887,photograph,"https://api.nga.gov/iiif/d40326d3-e715-4151-a3ca-871b060f1892/full/!200,200/0/default.jpg"
1900,print,"https://api.nga.gov/iiif/266e65e8-d27a-434f-a16a-59baba581300/full/!200,200/0/default.jpg"
1500,sculpture,"https://api.nga.gov/iiif/172dc026-abb1-47ff-bca3-49b1e486857a/full/!200,200/0/default.jpg"
1865,photograph,"https://api.nga.gov/iiif/d09c91ee-4ea9-4675-b8bb-dca4dd374e84/full/!200,200/0/default.jpg"
1475,print,"https://api.nga.gov/iiif/74b1d323-4124-44d9-84b7-0207020009bc/full/!200,200/0/default.jpg"
1837,print,"https://api.nga.gov/iiif/d66b2536-37a5-4488-9a36-18a70892e578/full/!200,200/0/default.jpg"
1475,sculpture,"https://api.nga.gov/iiif/fb1273b8-c2b0-4340-aab7-8fe1cc135db9/full/!200,200/0/default.jpg"
1884,drawing,"https://api.nga.gov/iiif/c78c15cf-c6f4-4163-b50a-5e3b4759cecc/full/!200,200/0/default.jpg"
1884,print,"https://api.nga.gov/iiif/85370aeb-95d1-4f91-ad73-65e134d25abc/full/!200,200/0/default.jpg"
1835,sculpture,"https://api.nga.gov/iiif/22e74d6e-eaf5-42d3-a293-8abb6ea52e72/full/!200,200/0/default.jpg"
1887,print,"https://api.nga.gov/iiif/1a36c693-6ffb-4c9b-8105-30f708e72885/full/!200,200/0/default.jpg"
1600,sculpture,"https://api.nga.gov/iiif/5ba8fd16-2e15-4664-98b8-d97ce2121cc3/full/!200,200/0/default.jpg"
1800,print,"https://api.nga.gov/iiif/93719815-13e3-4027-8446-06ae2ed18a69/full/!200,200/0/default.jpg"
