beginyear,hex_color,imageurl
1434,#b45438,"https://api.nga.gov/iiif/0f0e31e4-2b7b-4e65-a2e1-f041a4a94277/full/!200,200/0/default.jpg"
1465,#d080b4,"https://api.nga.gov/iiif/32044335-060d-42d2-94d0-39d51eae08cc/full/!200,200/0/default.jpg"
1437,#c0b44c,"https://api.nga.gov/iiif/0c3cb1a7-e935-4ef7-9021-fe257002750b/full/!200,200/0/default.jpg"
1489,#cc684c,"https://api.nga.gov/iiif/8163af1b-9439-4528-8926-a12d65c27ea5/full/!200,200/0/default.jpg"
1420,#388c90,"https://api.nga.gov/iiif/81f954e3-7a99-48cf-b123-d62814db3a4a/full/!200,200/0/default.jpg"
1465,#ccb494,"https://api.nga.gov/iiif/ce837380-8ae1-4805-a105-b4dae7d703c6/full/!200,200/0/default.jpg"
1422,#bc5c94,"https://api.nga.gov/iiif/b660f701-e7d4-4244-b245-bd8c0635290f/full/!200,200/0/default.jpg"
1443,#6c4e30,"https://api.nga.gov/iiif/f11f235e-8f5f-4609-93b9-6f0ed5fab6b5/full/!200,200/0/default.jpg"
1433,#6cc45c,"https://api.nga.gov/iiif/28526dc2-589e-45a5-84d6-661e8631ade3/full/!200,200/0/default.jpg"
1420,#b4ac48,"https://api.nga.gov/iiif/0482fb58-f841-4b9e-a295-7d7ffb49d3a1/full/!200,200/0/default.jpg"
1482,#d8b064,"https://api.nga.gov/iiif/51d59e4e-ef9f-4347-bb4a-25079327d073/full/!200,200/0/default.jpg"
1498,#b05488,"https://api.nga.gov/iiif/a3e4ab2e-a9ae-427a-a18e-7ae84f12d692/full/!200,200/0/default.jpg"
1426,#983074,"https://api.nga.gov/iiif/65a7f1b6-4a06-40c7-a7a9-92bab9d5e63e/full/!200,200/0/default.jpg"
1421,#ad7a4d,"https://api.nga.gov/iiif/7ed9e37a-933f-471c-8057-54658646f7b8/full/!200,200/0/default.jpg"
1482,#c8ac4c,"https://api.nga.gov/iiif/9ca0db59-37de-4dd3-9174-5cc2ddd87db2/full/!200,200/0/default.jpg"
1426,#cc9947,"https://api.nga.gov/iiif/bbedbb38-f641-4efe-b27a-f2e1139508a7/full/!200,200/0/default.jpg"
1487,#5cb450,"https://api.nga.gov/iiif/d6e61892-2342-4298-a547-326e744dfaf3/full/!200,200/0/default.jpg"
1458,#b02c24,"https://api.nga.gov/iiif/f91a9e32-acaf-4c43-8c30-479ed7d9577e/full/!200,200/0/default.jpg"
1499,#c86054,"https://api.nga.gov/iiif/91b4344f-5f3c-4e22-80f5-2d602143a96e/full/!200,200/0/default.jpg"
1456,#ccc458,"https://api.nga.gov/iiif/289dd614-5b59-4c54-9d57-a56776e71372/full/!200,200/0/default.jpg"
1406,#cca860,"https://api.nga.gov/iiif/690bb59d-0a8c-4c17-972e-9c3667b51107/full/!200,200/0/default.jpg"
1418,#c8b050,"https://api.nga.gov/iiif/6758f94a-c494-4cf5-9b29-6862d9cd14b8/full/!200,200/0/default.jpg"
1446,#b85894,"https://api.nga.gov/iiif/30d482c9-22ac-4f0c-a78c-f994d75d61f8/full/!200,200/0/default.jpg"
1489,#d4ac90,"https://api.nga.gov/iiif/cc9aa038-a657-4bc2-bce2-9d10e597f7ff/full/!200,200/0/default.jpg"
1452,#c0509c,"https://api.nga.gov/iiif/7eb9a8e2-5f6a-475f-ba8b-1652262790e5/full/!200,200/0/default.jpg"
1446,#c8a850,"https://api.nga.gov/iiif/2286136d-91a1-49b4-affb-8ca137e4913d/full/!200,200/0/default.jpg"
1439,#c7aa77,"https://api.nga.gov/iiif/8ff3adc1-a2e0-4abd-b327-b3982170f1c5/full/!200,200/0/default.jpg"
1474,#78343d,"https://api.nga.gov/iiif/c5b5bcda-83a3-4c1d-9df8-3ccbd9e2813d/full/!200,200/0/default.jpg"
1478,#b48452,"https://api.nga.gov/iiif/395f3fe6-7c46-4529-9d3d-5ab1ac1df7e3/full/!200,200/0/default.jpg"
1439,#dcb47c,"https://api.nga.gov/iiif/b32c4a4a-83df-48d8-a4e7-eef3483e71d2/full/!200,200/0/default.jpg"
1473,#c4a47c,"https://api.nga.gov/iiif/236aecd3-a7b8-444c-a381-0f35b8faff90/full/!200,200/0/default.jpg"
1404,#988038,"https://api.nga.gov/iiif/e7080cd8-dd6d-4202-8a12-3aeb0085c0d8/full/!200,200/0/default.jpg"
1457,#607030,"https://api.nga.gov/iiif/edc2ef6b-d10d-433c-93d5-f9e373d0f055/full/!200,200/0/default.jpg"
