beginyear,hex_color,imageurl,closest_color
1470,#ac3c3c,"https://api.nga.gov/iiif/99820c90-ed52-4981-9954-bd0512acacfc/full/!200,200/0/default.jpg",#a52a2a
1470,#86442d,"https://api.nga.gov/iiif/de88485d-7b9d-4d49-a08d-3a6591dd0262/full/!200,200/0/default.jpg",#8b4513
1470,#8d6b3d,"https://api.nga.gov/iiif/8788f9a6-142d-40b7-953b-a9a208ff2eef/full/!200,200/0/default.jpg",#a0522d
1470,#846434,"https://api.nga.gov/iiif/1a761edd-c52e-47c0-b422-df074e14c803/full/!200,200/0/default.jpg",#a0522d
1470,#947444,"https://api.nga.gov/iiif/629fa856-d29d-4c59-9563-99c7a3a71200/full/!200,200/0/default.jpg",#a0522d
1470,#bc543c,"https://api.nga.gov/iiif/a1871fb3-fa75-4868-ab25-8870b9e833c7/full/!200,200/0/default.jpg",#a0522d
1470,#e4b971,"https://api.nga.gov/iiif/244fe732-1479-4963-a716-ab62b8ac4879/full/!200,200/0/default.jpg",#deb887
1470,#9b493d,"https://api.nga.gov/iiif/70d0deef-9f12-4d5e-a1bf-d76179ed576e/full/!200,200/0/default.jpg",#a0522d
1470,#ca975e,"https://api.nga.gov/iiif/411d388f-e778-47f8-a5e8-0c030fa03aaf/full/!200,200/0/default.jpg",#cd853f
1470,#af711c,"https://api.nga.gov/iiif/63e63e4a-a133-4353-be44-6ec3e73f2e19/full/!200,200/0/default.jpg",#b8860b
1470,#7a5c33,"https://api.nga.gov/iiif/6ccc4541-e38d-4f68-b36e-0c00f5febc4e/full/!200,200/0/default.jpg",#a0522d
1473,#a43b26,"https://api.nga.gov/iiif/a34b93be-3903-47a5-a8ea-4915003a7ac4/full/!200,200/0/default.jpg",#a52a2a
1473,#d4a05c,"https://api.nga.gov/iiif/2c9db5b0-7ce2-4772-abc6-9f3a417bfc2f/full/!200,200/0/default.jpg",#f4a460
1473,#d4ac63,"https://api.nga.gov/iiif/cd382af4-5334-485a-8121-c52ce7abf13a/full/!200,200/0/default.jpg",#bdb76b
1474,#a13313,"https://api.nga.gov/iiif/5f5c2a70-2986-483f-8e16-b43669dc3e6c/full/!200,200/0/default.jpg",#a52a2a
1474,#916418,"https://api.nga.gov/iiif/723c7f3c-c4e0-4ecf-8080-5f9012b7e6cb/full/!200,200/0/default.jpg",#a0522d
1474,#ad7850,"https://api.nga.gov/iiif/a2c98cf7-cb29-43d0-a153-30d067973032/full/!200,200/0/default.jpg",#cd853f
1474,#754d27,"https://api.nga.gov/iiif/8f29e3c9-a289-4d53-abf0-31a66e9e98fa/full/!200,200/0/default.jpg",#8b4513
1474,#9d3c2a,"https://api.nga.gov/iiif/ff62e8d0-45c4-498f-ad36-6358de827e04/full/!200,200/0/default.jpg",#a52a2a
1475,#bc412e,"https://api.nga.gov/iiif/d80a9e0f-0424-46ba-86f1-afd821e843b4/full/!200,200/0/default.jpg",#a0522d
1475,#b2805c,"https://api.nga.gov/iiif/f0155917-ea57-444f-b3ed-d798b9dd942d/full/!200,200/0/default.jpg",#cd853f
1475,#9c4023,"https://api.nga.gov/iiif/8297c11b-591d-4b1e-832b-ee2bb9bec53e/full/!200,200/0/default.jpg",#a0522d
1475,#9f6e4c,"https://api.nga.gov/iiif/8c0c3a8f-aa9f-43d4-8f60-ac44d48add75/full/!200,200/0/default.jpg",#a0522d
1475,#8c2712,"https://api.nga.gov/iiif/89d562d2-a933-4218-bb2a-2e0f325af98b/full/!200,200/0/default.jpg",#8b4513
1475,#c34031,"https://api.nga.gov/iiif/8af6e0ff-0847-4335-8fe3-72702e74fca5/full/!200,200/0/default.jpg",#b22222
1475,#9c6b37,"https://api.nga.gov/iiif/cec41beb-e9a3-447e-9529-2aa4f5b857ac/full/!200,200/0/default.jpg",#a0522d
1475,#a07040,"https://api.nga.gov/iiif/7961759b-b387-4fa5-a005-1bb77e6305bc/full/!200,200/0/default.jpg",#a0522d
1475,#8f6b2d,"https://api.nga.gov/iiif/17b4aa42-79e9-4356-8231-9299f1c3a279/full/!200,200/0/default.jpg",#a0522d
1475,#946424,"https://api.nga.gov/iiif/e2dd819e-1abc-4613-9c65-0753a34ad85e/full/!200,200/0/default.jpg",#a0522d
1475,#e05c98,"https://api.nga.gov/iiif/4f1c0f86-404b-41f3-81e3-75a35fea96eb/full/!200,200/0/default.jpg",#db7093
1475,#bc2c1e,"https://api.nga.gov/iiif/a997ad6a-1d3e-4c25-857c-ae565189ee70/full/!200,200/0/default.jpg",#b22222
1475,#ac6c3c,"https://api.nga.gov/iiif/66836f2b-7a47-4b9a-b2de-1349f32e4c47/full/!200,200/0/default.jpg",#a0522d
1475,#9c8347,"https://api.nga.gov/iiif/bfb0a807-b4bd-467a-b4ab-532d8898057b/full/!200,200/0/default.jpg",#cd853f
1475,#c45c1c,"https://api.nga.gov/iiif/9d7fd726-6565-49b5-ae42-fd8f570fbf08/full/!200,200/0/default.jpg",#d2691e
1475,#b96e32,"https://api.nga.gov/iiif/ce0ccbec-f4e6-4d7e-af41-e0b568f726eb/full/!200,200/0/default.jpg",#d2691e
1475,#cb6929,"https://api.nga.gov/iiif/a3bbffa3-3e50-465a-832a-fff278cd945c/full/!200,200/0/default.jpg",#d2691e
1475,#b56e39,"https://api.nga.gov/iiif/b862fdfb-bb90-45fe-9456-5f02a84bc6bc/full/!200,200/0/default.jpg",#cd853f
1476,#a24b16,"https://api.nga.gov/iiif/1e63614c-3a9d-4b84-9841-198e08fcef97/full/!200,200/0/default.jpg",#8b4513
1476,#a03c28,"https://api.nga.gov/iiif/d30baae3-1061-412e-afe4-f1201ed6a5ad/full/!200,200/0/default.jpg",#a52a2a
1477,#ac7b4e,"https://api.nga.gov/iiif/fa1013ab-042d-4b6b-8b29-cc2eac0b4dc1/full/!200,200/0/default.jpg",#cd853f
1478,#a17c4c,"https://api.nga.gov/iiif/0fd27212-b70a-4a0b-9e7c-ed0d8bbe7ebf/full/!200,200/0/default.jpg",#cd853f
1478,#881520,"https://api.nga.gov/iiif/6ef2731f-05c7-422c-be03-c49b37112e66/full/!200,200/0/default.jpg",#a52a2a
1479,#a04440,"https://api.nga.gov/iiif/c4823e40-c213-4d32-a42b-56bd2330a6c5/full/!200,200/0/default.jpg",#a0522d
1480,#bd8240,"https://api.nga.gov/iiif/f38f8f22-620e-4ff3-a2bf-22b719002e17/full/!200,200/0/default.jpg",#cd853f
1480,#af7f52,"https://api.nga.gov/iiif/2ea2d362-7c35-4819-860d-d3c7de2db4b8/full/!200,200/0/default.jpg",#cd853f
1480,#d29f5f,"https://api.nga.gov/iiif/70681fcc-b40a-4147-9803-c632037b4f74/full/!200,200/0/default.jpg",#bdb76b
1480,#e03a04,"https://api.nga.gov/iiif/a8a8fcd6-496e-40cb-a4b9-e4001642490b/full/!200,200/0/default.jpg",#ff4500
1480,#bc4c2c,"https://api.nga.gov/iiif/f297f282-edcc-4190-88ff-96de868ec881/full/!200,200/0/default.jpg",#a0522d
1480,#b78546,"https://api.nga.gov/iiif/5ba0c489-5804-4136-974d-522eebfcd95f/full/!200,200/0/default.jpg",#cd853f
1480,#b48454,"https://api.nga.gov/iiif/b805508a-ffe6-49d3-9a95-ae83e1046b18/full/!200,200/0/default.jpg",#cd853f
1480,#84241c,"https://api.nga.gov/iiif/191c3171-5ef9-46ee-9013-aace971dc8f2/full/!200,200/0/default.jpg",#8b4513
1480,#8c6242,"https://api.nga.gov/iiif/8a1d47f1-cab0-4746-857c-e3fecb0c0149/full/!200,200/0/default.jpg",#a0522d
1480,#98492a,"https://api.nga.gov/iiif/2f431fe3-d517-47af-9d01-de6fbce488b0/full/!200,200/0/default.jpg",#a0522d
1480,#ab4c24,"https://api.nga.gov/iiif/e8999858-d161-4e7d-83c6-f8ea5ebeeabc/full/!200,200/0/default.jpg",#a0522d
1482,#a85414,"https://api.nga.gov/iiif/fb441731-b7ea-4972-a1f4-51184adaddc9/full/!200,200/0/default.jpg",#a0522d
1482,#a37b3d,"https://api.nga.gov/iiif/b43e331e-ede9-44ca-a276-0b8806630fbd/full/!200,200/0/default.jpg",#cd853f
1482,#bc7c34,"https://api.nga.gov/iiif/63049d6b-06b2-4e4b-9443-532df5b30fa7/full/!200,200/0/default.jpg",#cd853f
1482,#9e7739,"https://api.nga.gov/iiif/49cffd8d-5c06-4628-9369-1b6bdb3e7b90/full/!200,200/0/default.jpg",#a0522d
1482,#c49c24,"https://api.nga.gov/iiif/823e1490-2c2a-41d6-9189-61c0a302f48f/full/!200,200/0/default.jpg",#daa520
1485,#ae3418,"https://api.nga.gov/iiif/48990066-145b-49d2-bf4e-186de168f7c9/full/!200,200/0/default.jpg",#b22222
1485,#caaf79,"https://api.nga.gov/iiif/3c4d40ea-b148-4a1f-b0d8-840929cbb973/full/!200,200/0/default.jpg",#bdb76b
1485,#b5474d,"https://api.nga.gov/iiif/ffb111b5-5cc1-41f8-918f-c8a973709d0c/full/!200,200/0/default.jpg",#cd5c5c
1485,#a36f37,"https://api.nga.gov/iiif/03ee67ee-dd0e-443f-84ef-ede5f62ce0cd/full/!200,200/0/default.jpg",#a0522d
1485,#cc9e60,"https://api.nga.gov/iiif/e09f2884-f3ed-4275-a572-ea5a35769030/full/!200,200/0/default.jpg",#bdb76b
1488,#a8724a,"https://api.nga.gov/iiif/7681ffe3-535b-4e75-9d28-a288d7ce0cf5/full/!200,200/0/default.jpg",#cd853f
1489,#326f97,"https://api.nga.gov/iiif/53a3d42d-c211-4df6-b199-88086fdbd5a9/full/!200,200/0/default.jpg",#4682b4
1490,#ab4b30,"https://api.nga.gov/iiif/4823046d-8c2c-4ae0-bc6f-c9fcae27ff2b/full/!200,200/0/default.jpg",#a0522d
1490,#bc7c34,"https://api.nga.gov/iiif/d0273882-086e-437d-b0e0-6898631621f6/full/!200,200/0/default.jpg",#cd853f
1490,#bf8b4e,"https://api.nga.gov/iiif/cf1d1ebf-4149-4d9b-ab3c-bcbcc604893b/full/!200,200/0/default.jpg",#cd853f
1490,#b8975b,"https://api.nga.gov/iiif/39eccc24-0e44-4e47-bbc2-24d5cacd4417/full/!200,200/0/default.jpg",#bdb76b
1490,#c7995b,"https://api.nga.gov/iiif/d03d911a-9d6d-4eb5-ab44-298db3d40c10/full/!200,200/0/default.jpg",#cd853f
1490,#98b040,"https://api.nga.gov/iiif/505de18c-648f-4d3c-93a7-413b3243be90/full/!200,200/0/default.jpg",#9acd32
1490,#b1773b,"https://api.nga.gov/iiif/06dce57d-a67c-40e4-9365-54d8720edc80/full/!200,200/0/default.jpg",#cd853f
1490,#d1b049,"https://api.nga.gov/iiif/8d4d3401-5d6a-4ab1-9542-6d2886519a29/full/!200,200/0/default.jpg",#bdb76b
1490,#a34431,"https://api.nga.gov/iiif/6789558e-0527-4d41-97e5-245336b76e8f/full/!200,200/0/default.jpg",#a0522d
1490,#e0b65e,"https://api.nga.gov/iiif/fbec1a56-2a07-4566-8010-9e08edc5bc8c/full/!200,200/0/default.jpg",#f4a460
1490,#b43e21,"https://api.nga.gov/iiif/b360118c-1c23-4a7b-b476-21549b3f0ab6/full/!200,200/0/default.jpg",#a52a2a
1490,#ac7c4c,"https://api.nga.gov/iiif/596dbe75-d5d5-4b89-a983-3ac25fec0c01/full/!200,200/0/default.jpg",#cd853f
