beginyear,vibrant,LightVibrant,closest_color,Muted,LightMuted,DarkMuted,Image URL
1455,#ad1a08,#cda083,#762414,#a77d51,#ba8d68,#54412b,"https://api.nga.gov/iiif/6cb74e73-7fb1-4a00-8932-5a791aa03358/full/!200,200/0/default.jpg"
1455,#9a7748,,#9a7748,,,,"https://api.nga.gov/iiif/4fbfb541-8673-442c-8ac9-43e661642e4e/full/!200,200/0/default.jpg"
1455,#d49a52,#dca35b,#6c3c0c,#9f7351,#ba8f67,#5d2d2a,"https://api.nga.gov/iiif/86098116-ac10-4aca-bb24-d51a576ac15c/full/!200,200/0/default.jpg"
1455,#825238,,#825238,,,,"https://api.nga.gov/iiif/7270e9fe-1183-4441-a661-cbd826c7e8ec/full/!200,200/0/default.jpg"
1455,#c84088,#deceab,#691923,#8c6a4b,#c4b494,#452f28,"https://api.nga.gov/iiif/d6663e36-cd7f-4406-a5e1-827e8dc729ed/full/!200,200/0/default.jpg"
1456,#d0a25f,#f4b49c,#063040,#987c53,#bca27c,#584b2e,"https://api.nga.gov/iiif/644d2492-3c7c-4f1e-ab33-c837edc019c2/full/!200,200/0/default.jpg"
1459,#b4543c,#c0956d,#624428,#a49070,#b4a480,#493626,"https://api.nga.gov/iiif/fd6e0eb7-7574-4489-8920-e4592a581896/full/!200,200/0/default.jpg"
1460,#903424,,#903424,,,,"https://api.nga.gov/iiif/513e34ae-b923-4aed-a85d-453d1a3b4fa3/full/!200,200/0/default.jpg"
1460,#b98c53,#cd9861,#644414,#74643c,,,"https://api.nga.gov/iiif/74df6f92-b371-42c7-b835-b4cb9ae167b6/full/!200,200/0/default.jpg"
1460,#cfa569,#e4ac68,#144464,#a07651,#b99c7e,#2f445c,"https://api.nga.gov/iiif/2022a08c-1b2a-42e7-9987-1947f61a0c03/full/!200,200/0/default.jpg"
1460,#b68a49,#d6a860,#7d592b,#a78156,#be9d7a,#3f3324,"https://api.nga.gov/iiif/86533ed9-1baa-4e29-8f39-5519b461003f/full/!200,200/0/default.jpg"
1460,#7c5c34,,#7c5c34,,,,"https://api.nga.gov/iiif/7cb3180e-1423-4bdf-acf3-640dc3f33964/full/!200,200/0/default.jpg"
1465,#a07a42,#caa464,#6c3c0c,#a78f5f,,,"https://api.nga.gov/iiif/330fdee8-fa99-44ed-8928-b67b55a4ef1c/full/!200,200/0/default.jpg"
1465,#976647,#ddb88e,#6b231c,#a77a53,#c2b99d,#5c412c,"https://api.nga.gov/iiif/c814fc4e-77aa-49b7-b1db-b2756d813731/full/!200,200/0/default.jpg"
1465,#c4947c,#caa787,#1c0c05,#97775c,#bc9c84,#624530,"https://api.nga.gov/iiif/7461a784-1032-41f4-a0b2-8d1e1815facd/full/!200,200/0/default.jpg"
1467,#bc7454,#e5c3a5,#19353d,#5c8ca3,#c8ab8c,#725d42,"https://api.nga.gov/iiif/05e6ca89-e950-4ff7-8463-50f553ce2ad6/full/!200,200/0/default.jpg"
1468,#cc9947,#f4c874,#925c1c,#a08054,,,"https://api.nga.gov/iiif/bbedbb38-f641-4efe-b27a-f2e1139508a7/full/!200,200/0/default.jpg"
1470,#ac7725,#eccc94,#87510a,#857754,#cdc4ad,#4f4124,"https://api.nga.gov/iiif/c747c66d-a38d-4cdc-a0a3-9c55930303b8/full/!200,200/0/default.jpg"
1470,#967033,,#967033,,,,"https://api.nga.gov/iiif/b648ebba-7bc6-45ab-a41d-7fd20b0918ea/full/!200,200/0/default.jpg"
1470,#9c674b,,#9c674b,,,,"https://api.nga.gov/iiif/8835af10-db33-41e3-8684-4fc3117c2a15/full/!200,200/0/default.jpg"
1470,#b38860,#cc9c64,#75350b,#926e49,#c5b092,#56402e,"https://api.nga.gov/iiif/0fc0bb7e-42d2-4813-baf0-311b0bab96e2/full/!200,200/0/default.jpg"
1470,#b75026,,#b75026,,,,"https://api.nga.gov/iiif/45949ade-9d91-45dd-875a-3e164f930351/full/!200,200/0/default.jpg"
1470,#c69244,#e5c69b,#583212,#a07657,#c6b498,#5a523e,"https://api.nga.gov/iiif/f2087521-95a8-42e9-b383-712221c3b31b/full/!200,200/0/default.jpg"
1470,#bb9263,#d7b480,#60121a,#7a958c,#cdb48d,#463424,"https://api.nga.gov/iiif/84719d50-679d-4c7f-9df0-0af6d44700d3/full/!200,200/0/default.jpg"
1470,#b37f4c,#c69b74,#5b2b21,#b5885e,#b88c6c,#583d2c,"https://api.nga.gov/iiif/2540c5bf-5185-4c7e-b3f6-f0244ba1a0ec/full/!200,200/0/default.jpg"
1470,#86673a,,#86673a,,,,"https://api.nga.gov/iiif/623e6887-f255-491f-bd76-316635fd3a83/full/!200,200/0/default.jpg"
1470,#8d3e3d,#d0bc94,#6c4728,#b26e68,#b9877e,#2c4c53,"https://api.nga.gov/iiif/89f3a6fb-5b1d-4bca-8508-90c6444cd8ea/full/!200,200/0/default.jpg"
1470,#a8804c,#c4ac84,#5b3b22,#78887f,#ccbc98,#473426,"https://api.nga.gov/iiif/4cc2da5c-1ba3-45b0-8b28-59d7245a012c/full/!200,200/0/default.jpg"
1470,#ac3c3c,,#ac3c3c,,,,"https://api.nga.gov/iiif/99820c90-ed52-4981-9954-bd0512acacfc/full/!200,200/0/default.jpg"
1470,#86442d,#dcb48a,#522c1d,#927d69,#c7a784,#4d422b,"https://api.nga.gov/iiif/de88485d-7b9d-4d49-a08d-3a6591dd0262/full/!200,200/0/default.jpg"
1470,#8d6b3d,#ddc7b4,#224a66,#728da3,#c9bfae,#504935,"https://api.nga.gov/iiif/8788f9a6-142d-40b7-953b-a9a208ff2eef/full/!200,200/0/default.jpg"
1470,#846434,,#846434,,,,"https://api.nga.gov/iiif/1a761edd-c52e-47c0-b422-df074e14c803/full/!200,200/0/default.jpg"
1470,#947444,,#947444,,,,"https://api.nga.gov/iiif/629fa856-d29d-4c59-9563-99c7a3a71200/full/!200,200/0/default.jpg"
1470,#bc543c,#c4a47c,#8a2221,#aa946c,#cfc7a7,#574e3a,"https://api.nga.gov/iiif/a1871fb3-fa75-4868-ab25-8870b9e833c7/full/!200,200/0/default.jpg"
1470,#e4b971,#e9c478,#745414,#a78658,#c4ac8c,#594932,"https://api.nga.gov/iiif/244fe732-1479-4963-a716-ab62b8ac4879/full/!200,200/0/default.jpg"
1470,#9b493d,#c58c61,#6e1911,#a6744e,,,"https://api.nga.gov/iiif/70d0deef-9f12-4d5e-a1bf-d76179ed576e/full/!200,200/0/default.jpg"
1470,#ca975e,#e7b267,#5c2017,#9e8f60,#bda77f,#705433,"https://api.nga.gov/iiif/411d388f-e778-47f8-a5e8-0c030fa03aaf/full/!200,200/0/default.jpg"
1470,#af711c,#d4c4a1,#774e18,#ac8661,#d5ccb2,#2f4551,"https://api.nga.gov/iiif/63e63e4a-a133-4353-be44-6ec3e73f2e19/full/!200,200/0/default.jpg"
1470,#7a5c33,#c4887c,#633c2a,#ac8a6d,#c4ae86,#243f41,"https://api.nga.gov/iiif/6ccc4541-e38d-4f68-b36e-0c00f5febc4e/full/!200,200/0/default.jpg"
1473,#a43b26,#e5b266,#623424,#a97d4a,#d4ccb4,#4d3629,"https://api.nga.gov/iiif/a34b93be-3903-47a5-a8ea-4915003a7ac4/full/!200,200/0/default.jpg"
