Year,Drawing,Painting,Sculpture,Photograph,Decorative Art,Print
1953,104,16,4,319,0,226
1986,67,6,12,125,0,116
1945,52,28,7,175,0,252
1704,8,0,2,0,0,2
1688,3,0,1,0,0,7
1718,5,0,0,0,0,0
1695,14,2,0,0,0,5
1689,4,0,0,0,0,0
1682,3,0,0,0,0,23
1813,10,4,0,1,0,9
1711,5,1,2,0,0,6
1414,1,0,0,0,0,0
1270,17,2,0,0,0,0
1409,1,0,0,0,0,0
1239,1,0,0,0,0,0
1265,1,0,0,0,0,0
1350,3,0,0,0,0,0
1602,4,0,0,0,0,34
1385,2,0,0,0,0,0
1290,1,2,0,0,0,0
1345,1,1,0,0,0,0
1250,3,1,0,0,0,0
1415,0,4,0,0,0,0
1576,2,0,1,0,0,82
1697,0,0,0,0,0,4
1817,9,1,2,0,1,25
1050,1,0,0,0,1,0
1140,1,0,0,0,0,0
1210,1,0,0,0,0,0
1438,0,1,2,0,0,0
1240,1,1,0,0,0,0
1272,0,2,0,0,0,0
1370,0,1,1,0,0,0
1315,0,4,0,0,0,0
1324,0,1,0,0,0,0
1705,7,0,3,0,0,6
1701,0,0,3,0,0,14
1683,0,0,2,0,0,2
1951,47,9,7,522,0,180
1952,15,14,3,316,0,200
1320,1,1,0,0,0,0
1300,0,0,2,0,0,0
1556,2,0,17,0,0,17
1966,36,17,12,75,0,312
1954,30,5,10,360,0,118
1693,3,0,0,0,0,0
1712,9,0,1,0,0,4
1717,5,1,2,0,0,2
1456,0,1,4,0,0,0
1427,0,0,1,0,0,0
1419,0,0,1,0,0,0
1469,0,0,1,0,0,0
1467,0,1,12,0,0,3
1436,0,0,2,0,0,0
1443,0,0,2,0,0,0
1444,0,0,7,0,0,0
1447,0,0,6,0,0,0
1463,0,0,9,0,0,1
1464,0,0,5,0,0,1
1437,0,0,2,0,0,0
1454,1,0,6,0,0,0
1459,0,1,2,0,0,0
1564,8,1,4,0,0,44
1591,5,0,5,0,0,12
1402,0,0,4,0,0,0
1568,2,0,5,0,0,6
1958,25,21,5,433,0,253
1957,31,7,7,205,0,193
1956,47,6,6,971,0,125
1357,0,0,2,0,0,0
1321,0,0,1,0,0,0
1100,2,0,0,0,1,0
1225,1,0,0,0,0,0
1963,38,11,11,183,0,313
1962,34,23,15,180,0,279
1959,34,16,3,145,0,238
1964,23,26,15,244,0,227
1961,41,18,9,171,0,255
1960,36,8,9,175,0,190
1563,2,0,0,0,0,12
1699,22,0,4,0,0,4
1965,39,21,15,129,1,338
1432,0,1,0,0,0,0
1967,53,7,16,94,0,373
1969,104,19,21,119,1,502
1709,6,1,1,0,0,0
1970,79,12,15,198,1,347
1115,0,0,0,0,1,0
1426,0,0,0,0,1,0
1971,65,8,25,141,1,235
1972,64,13,21,139,0,286
1431,2,0,0,0,0,0
1973,113,12,5,217,0,276
1974,70,11,14,128,0,156
1975,80,11,10,206,1,230
1976,39,8,13,100,0,393
1968,59,17,15,111,0,387
1977,31,8,13,214,1,158
1978,31,8,17,212,0,144
1722,2,1,0,0,0,21
1979,41,8,7,133,0,114
1691,6,0,0,0,0,9
1980,49,4,5,271,1,171
1981,24,5,12,96,0,222
1694,1,0,0,0,0,9
1982,29,8,17,150,1,130
1708,4,0,2,0,0,2
1604,1,1,0,0,0,10
1984,32,2,2,133,0,108
1983,77,6,8,98,0,118
1985,29,8,12,143,0,102
1987,43,7,4,179,0,122
1988,19,6,7,104,1,120
1989,30,9,8,186,1,102
1686,1,0,0,0,0,2
1990,12,5,21,128,0,160
1992,14,5,3,133,0,88
1706,1,0,0,0,0,2
1993,21,1,4,148,0,141
1994,22,3,7,58,0,100
1995,33,3,4,85,0,142
1364,0,0,1,0,0,0
1996,14,6,6,71,0,122
1692,0,0,0,0,0,3
1997,24,4,5,98,0,149
