beginyear,Vibrant,LightVibrant,DarkVibrant,Muted,LightMuted,DarkMuted,imageurl,beginyear_x,Vibrant_x,LightVibrant_x,DarkVibrant_x,Muted_x,LightMuted_x,DarkMuted_x,beginyear_y,Vibrant_y,LightVibrant_y,DarkVibrant_y,Muted_y,LightMuted_y,DarkMuted_y,Closest_Web_Color_Hex,hex_color
1857,#f4cc54,#fcd45c,#643e1d,#a7875f,#bfa37b,#37291e,"https://api.nga.gov/iiif/a93ccf65-d4e1-4eea-8947-e0df78d65c86/full/!800,800/0/default.jpg",1857,#f4cc54,#fcd45c,#643e1d,#a7875f,#bfa37b,#37291e,1857,#f4cc54,#fcd45c,#643e1d,#a7875f,#bfa37b,#37291e,#f4a460,"(244, 164, 96)"
1810,#b46c4e,#efcca9,#5c2b15,#ac7554,#d1b194,#512f25,"https://api.nga.gov/iiif/eb7fb3ec-edff-4b87-8dbe-0e88f924e955/full/!800,800/0/default.jpg",1810,#b46c4e,#efcca9,#5c2b15,#ac7554,#d1b194,#512f25,1810,#b46c4e,#efcca9,#5c2b15,#ac7554,#d1b194,#512f25,#cd5c5c,"(205, 92, 92)"
1864,#cca072,#d0bc92,#644c2c,#a1896d,#bcac94,#58462c,"https://api.nga.gov/iiif/5136b9e2-a5e9-406f-9c89-0a36c12a7f19/full/!800,800/0/default.jpg",1864,#cca072,#d0bc92,#644c2c,#a1896d,#bcac94,#58462c,1864,#cca072,#d0bc92,#644c2c,#a1896d,#bcac94,#58462c,#bdb76b,"(189, 183, 107)"
1890,#ccbc94,#d4c4a4,#80543c,#a47c5b,#d4c4ac,#655042,"https://api.nga.gov/iiif/4d52640d-7ea8-4ddb-84c2-3c4a0d237613/full/!800,800/0/default.jpg",1890,#ccbc94,#d4c4a4,#80543c,#a47c5b,#d4c4ac,#655042,1890,#ccbc94,#d4c4a4,#80543c,#a47c5b,#d4c4ac,#655042,#d2b48c,"(210, 180, 140)"
1860,#bc8444,#e6b573,#743412,#977558,#bfa9a0,#544636,"https://api.nga.gov/iiif/85302598-c4cf-4feb-9c27-9c4a928eecae/full/!800,800/0/default.jpg",1860,#bc8444,#e6b573,#743412,#977558,#bfa9a0,#544636,1860,#bc8444,#e6b573,#743412,#977558,#bfa9a0,#544636,#cd853f,"(205, 133, 63)"
1890,#ccb48c,#ccb494,#3c8024,#9f876c,#c4b48c,#604f3f,"https://api.nga.gov/iiif/1521ca75-a13e-4c05-9ebd-b08e9386edfe/full/!800,800/0/default.jpg",1890,#ccb48c,#ccb494,#3c8024,#9f876c,#c4b48c,#604f3f,1890,#ccb48c,#ccb494,#3c8024,#9f876c,#c4b48c,#604f3f,#d2b48c,"(210, 180, 140)"
1890,#ccb48c,#dcc4a4,#5b4828,#a78b6c,#d4bc9c,#6c523b,"https://api.nga.gov/iiif/7c4e0138-70ff-4257-8ce6-62dd9c2e9154/full/!800,800/0/default.jpg",1890,#ccb48c,#dcc4a4,#5b4828,#a78b6c,#d4bc9c,#6c523b,1890,#ccb48c,#dcc4a4,#5b4828,#a78b6c,#d4bc9c,#6c523b,#d2b48c,"(210, 180, 140)"
1862,#c6a966,#f8eeda,#604e23,#8e8972,#d6c7b1,#4c5444,"https://api.nga.gov/iiif/31c84040-67bb-4d01-a091-be87555980ce/full/!800,800/0/default.jpg",1862,#c6a966,#f8eeda,#604e23,#8e8972,#d6c7b1,#4c5444,1862,#c6a966,#f8eeda,#604e23,#8e8972,#d6c7b1,#4c5444,#bdb76b,"(189, 183, 107)"
1861,#c19043,#e1c8a2,#796123,#918050,#d4c4a4,#56452d,"https://api.nga.gov/iiif/3c0d78e8-bd6d-4eae-ae1b-9bc565fdacc8/full/!800,800/0/default.jpg",1861,#c19043,#e1c8a2,#796123,#918050,#d4c4a4,#56452d,1861,#c19043,#e1c8a2,#796123,#918050,#d4c4a4,#56452d,#cd853f,"(205, 133, 63)"
1871,#9e5945,#e0ec90,#5c3328,#b4ac94,#b3b49a,#4d4d43,"https://api.nga.gov/iiif/a3df7dcc-176d-48f6-93aa-22f41056d10f/full/!800,800/0/default.jpg",1871,#9e5945,#e0ec90,#5c3328,#b4ac94,#b3b49a,#4d4d43,1871,#9e5945,#e0ec90,#5c3328,#b4ac94,#b3b49a,#4d4d43,#a0522d,"(160, 82, 45)"
1855,#e4b87a,#e3bb84,#611d27,#9f7550,#c0b5a1,#4f2d32,"https://api.nga.gov/iiif/c7f6c7b5-7178-4801-ac00-d7397778b5b9/full/!800,800/0/default.jpg",1855,#e4b87a,#e3bb84,#611d27,#9f7550,#c0b5a1,#4f2d32,1855,#e4b87a,#e3bb84,#611d27,#9f7550,#c0b5a1,#4f2d32,#deb887,"(222, 184, 135)"
1861,#c49450,#ce9d5a,#654c2c,#9c7c5a,#d4bcac,#62543e,"https://api.nga.gov/iiif/0bb3a526-1b8b-465f-9fe5-0701b54c3cb3/full/!800,800/0/default.jpg",1861,#c49450,#ce9d5a,#654c2c,#9c7c5a,#d4bcac,#62543e,1861,#c49450,#ce9d5a,#654c2c,#9c7c5a,#d4bcac,#62543e,#cd853f,"(205, 133, 63)"
1861,#bc9c6c,#c49c70,#76482b,#a6815a,#bc9c74,#6c6b4b,"https://api.nga.gov/iiif/d54690df-49b8-4864-8635-dca6f832f673/full/!800,800/0/default.jpg",1861,#bc9c6c,#c49c70,#76482b,#a6815a,#bc9c74,#6c6b4b,1861,#bc9c6c,#c49c70,#76482b,#a6815a,#bc9c74,#6c6b4b,#bdb76b,"(189, 183, 107)"
1890,#ccb494,#d4bb9e,#59452a,#8b7666,#ccb49c,#3c2b26,"https://api.nga.gov/iiif/59b19c0e-7736-4e86-92d1-0d7be5352dc0/full/!800,800/0/default.jpg",1890,#ccb494,#d4bb9e,#59452a,#8b7666,#ccb49c,#3c2b26,1890,#ccb494,#d4bb9e,#59452a,#8b7666,#ccb49c,#3c2b26,#d2b48c,"(210, 180, 140)"
1861,#d47c60,#ecdcc4,#682e1c,#92856b,#d4c4ac,#76684a,"https://api.nga.gov/iiif/511ec8dc-9eb0-4502-9822-3d62f4684129/full/!800,800/0/default.jpg",1861,#d47c60,#ecdcc4,#682e1c,#92856b,#d4c4ac,#76684a,1861,#d47c60,#ecdcc4,#682e1c,#92856b,#d4c4ac,#76684a,#cd5c5c,"(205, 92, 92)"
1893,#a45228,#c6ab81,#68532b,#a5815b,#cbc4ac,#504934,"https://api.nga.gov/iiif/3044237e-296c-42b3-8d25-1c7d6f6f78e9/full/!800,800/0/default.jpg",1893,#a45228,#c6ab81,#68532b,#a5815b,#cbc4ac,#504934,1893,#a45228,#c6ab81,#68532b,#a5815b,#cbc4ac,#504934,#a0522d,"(160, 82, 45)"
1861,#e27b53,#fbcc7c,#90693b,#ad9363,#bca977,#746b46,"https://api.nga.gov/iiif/121782f7-b1ac-424a-bc3a-46822d5184c8/full/!800,800/0/default.jpg",1861,#e27b53,#fbcc7c,#90693b,#ad9363,#bca977,#746b46,1861,#e27b53,#fbcc7c,#90693b,#ad9363,#bca977,#746b46,#ff7f50,"(255, 127, 80)"
1860,#cf9d6f,#f4daba,#4c3424,#9d8367,#d4c4a4,#382d22,"https://api.nga.gov/iiif/b9130594-e3a7-4fc2-a6d4-84bddac49be0/full/!800,800/0/default.jpg",1860,#cf9d6f,#f4daba,#4c3424,#9d8367,#d4c4a4,#382d22,1860,#cf9d6f,#f4daba,#4c3424,#9d8367,#d4c4a4,#382d22,#e9967a,"(233, 150, 122)"
1890,#582ca8,#6c70c0,#544424,#999a98,#bcbbb9,#56443a,"https://api.nga.gov/iiif/3f89f417-05f0-4a15-88d3-f48a4111e75a/full/!800,800/0/default.jpg",1890,#582ca8,#6c70c0,#544424,#999a98,#bcbbb9,#56443a,1890,#582ca8,#6c70c0,#544424,#999a98,#bcbbb9,#56443a,#483d8b,"(72, 61, 139)"
1892,#c6a656,#d4c474,#635021,#948b6d,#bcccc4,#516a5c,"https://api.nga.gov/iiif/aa6f1071-dee8-49d9-9978-e83c90362873/full/!800,800/0/default.jpg",1892,#c6a656,#d4c474,#635021,#948b6d,#bcccc4,#516a5c,1892,#c6a656,#d4c474,#635021,#948b6d,#bcccc4,#516a5c,#bdb76b,"(189, 183, 107)"
1891,#4487b1,#76acc5,#275c8c,#4d8cac,#c4d4d4,#3c6088,"https://api.nga.gov/iiif/214dd693-b1fb-4312-b931-d37ea59c4eb9/full/!800,800/0/default.jpg",1891,#4487b1,#76acc5,#275c8c,#4d8cac,#c4d4d4,#3c6088,1891,#4487b1,#76acc5,#275c8c,#4d8cac,#c4d4d4,#3c6088,#4682b4,"(70, 130, 180)"
1850,#e8a45b,#f4ab63,#9c5c14,#aa805e,#b7ab98,#444141,"https://api.nga.gov/iiif/8fb9fc21-e136-424f-ac73-0fdcd30a535b/full/!800,800/0/default.jpg",1850,#e8a45b,#f4ab63,#9c5c14,#aa805e,#b7ab98,#444141,1850,#e8a45b,#f4ab63,#9c5c14,#aa805e,#b7ab98,#444141,#f4a460,"(244, 164, 96)"
1890,#6a3c2f,#e4d4c4,#4c240c,#9c6c64,#e4d4cc,#734d41,"https://api.nga.gov/iiif/7a5ac351-9182-4595-bcf3-99b9039bb4de/full/!800,800/0/default.jpg",1890,#6a3c2f,#e4d4c4,#4c240c,#9c6c64,#e4d4cc,#734d41,1890,#6a3c2f,#e4d4c4,#4c240c,#9c6c64,#e4d4cc,#734d41,#8b4513,"(139, 69, 19)"
1881,#ac6444,#e2ca9e,#4e3a21,#9c8c54,#c6b9a5,#524426,"https://api.nga.gov/iiif/7797b2c1-a444-44d6-ad8b-714f0403a7d9/full/!800,800/0/default.jpg",1881,#ac6444,#e2ca9e,#4e3a21,#9c8c54,#c6b9a5,#524426,1881,#ac6444,#e2ca9e,#4e3a21,#9c8c54,#c6b9a5,#524426,#a0522d,"(160, 82, 45)"
