Begin Year,Vibrant,LightVibrant,DarkVibrant,Muted,LightMuted,DarkMuted,Image URL
1837,"#e87cbc","#f6e6cc","#70134a","#9d8c73","#d8c6a4","#524941","https://api.nga.gov/iiif/2b45c887-ec68-47fb-9d9a-8b5b01c4d24f/full/!200,200/0/default.jpg"
1450,"#bcb03c","#e4d4bc","#50ac38","#8e8470","#d0c4ac","#544b3b","https://api.nga.gov/iiif/724f38d6-0aad-42be-b1e4-bc72547da04d/full/!200,200/0/default.jpg"
1500,"#b4743c",,,,,,"https://api.nga.gov/iiif/c1bc522b-3da9-4359-9e14-adc4a7483f8f/full/!200,200/0/default.jpg"
1500,"#b84440",,,,,,"https://api.nga.gov/iiif/e6066d6d-99b8-42ed-ae90-f9494500fbba/full/!200,200/0/default.jpg"
1470,"#ccb48c","#d4bd9f","#5b4828","#a18c74","#b9a891","#6c6c64","https://api.nga.gov/iiif/af3e37d1-4924-4764-bb20-06ef21087adb/full/!200,200/0/default.jpg"
1878,"#68a440","#e4c494","#3c5f25","#9c856a","#c7ab87","#504030","https://api.nga.gov/iiif/3c479db8-5e12-43e7-b9c8-48a843339771/full/!200,200/0/default.jpg"
1830,"#bc942c","#dcbc90","#635021","#99824f","#ccc2a5","#715b3f","https://api.nga.gov/iiif/80a6346a-28d0-4c30-98cd-a6851ef420f8/full/!200,200/0/default.jpg"
1808,"#347074",,,,,,"https://api.nga.gov/iiif/dbcd72f2-fdba-42d5-a9d3-4b634875c4d3/full/!200,200/0/default.jpg"
1600,"#d470b0","#f4ecd4","#651e4c","#7c6cb0","#cfc2ae","#62584c","https://api.nga.gov/iiif/49d08411-d35e-4df9-85dd-0b3b0a41885d/full/!200,200/0/default.jpg"
1837,"#c0b45c","#e4d094","#5f5824","#968c74","#d4c4ab","#7e7264","https://api.nga.gov/iiif/fc63d400-a05b-41d2-acbf-83532fc57cc9/full/!200,200/0/default.jpg"
1849,"#5cbcac","#f4ecdc","#265d54","#8c7c74","#c7bdb0","#463f3c","https://api.nga.gov/iiif/0390e0c2-8165-446e-8a1b-5b5ada8b8a28/full/!200,200/0/default.jpg"
1500,"#af7a4f",,,,,,"https://api.nga.gov/iiif/1b6d512d-7b8f-47af-bb3d-6037f07e9063/full/!200,200/0/default.jpg"
1837,"#d47054","#dcc4a3","#692b1a","#b27f5f","#d4c4a4",,"https://api.nga.gov/iiif/ce3c15ef-af20-40a2-bb40-a805b8ffb248/full/!200,200/0/default.jpg"
1500,"#b37b4b",,,,,,"https://api.nga.gov/iiif/d3e36da8-8889-4e0e-81c1-5e6133ab3773/full/!200,200/0/default.jpg"
1480,"#ceac66","#f4d8b0","#7f4432","#a28566","#c7bc9e","#8b5d48","https://api.nga.gov/iiif/59782f5f-3f30-45c7-bf9e-e25b62ae51ec/full/!200,200/0/default.jpg"
1500,"#af4faf",,,,,,"https://api.nga.gov/iiif/1d6d0de4-a253-41ca-8030-913c1e12aca8/full/!200,200/0/default.jpg"
1500,"#a4a440",,,,,,"https://api.nga.gov/iiif/777f8586-8eac-491a-a548-c3684c4e5170/full/!200,200/0/default.jpg"
1752,"#c49c7c","#f4e4cc","#5b3f29","#94846e","#c2ac92","#706151","https://api.nga.gov/iiif/8eaf0a97-827c-45fe-bfaf-07e544859969/full/!200,200/0/default.jpg"
1897,"#90cc70","#fbf4de","#386122","#b2a893","#ddd4bc",,"https://api.nga.gov/iiif/b9b1297a-c27e-4055-963a-ec855f06ea81/full/!200,200/0/default.jpg"
1475,"#a45646","#e5c29a","#9c4434","#a66c58","#b8a17c","#705442","https://api.nga.gov/iiif/0c827c9f-073d-42e5-b7be-66954d60fe11/full/!200,200/0/default.jpg"
1500,"#64b864","#bc6868","#295a29","#b868bc","#d4d4d3","#4c494a","https://api.nga.gov/iiif/4aa605e2-df26-4782-a8c4-9928a6582016/full/!200,200/0/default.jpg"
1480,"#9d6a47","#dec198","#875734","#af8259","#be9f76","#664e3e","https://api.nga.gov/iiif/8f6129ff-4993-4305-8aa9-36ed09b29840/full/!200,200/0/default.jpg"
1837,"#6c5434",,,,,,"https://api.nga.gov/iiif/a5190289-a77d-4523-83b9-f8be9dc568c6/full/!200,200/0/default.jpg"
1837,"#ccbc60","#f4ecd4","#645a20","#5c5ca4","#dcd6bc","#5e5f57","https://api.nga.gov/iiif/bc4b5c6a-1262-43a0-ae5d-d30617395815/full/!200,200/0/default.jpg"
1500,"#ac4844",,,,,,"https://api.nga.gov/iiif/8ede057d-7662-4e06-995e-3efef226cda3/full/!200,200/0/default.jpg"
1515,"#745434",,,,,,"https://api.nga.gov/iiif/6e91aa4a-f713-4c06-9aa0-c06b6fe4bd99/full/!200,200/0/default.jpg"
