beginyear,medium,imageurl
1755,print,"https://api.nga.gov/iiif/103e6393-6ad8-4281-b3b8-bc5b590637cd/full/!200,200/0/default.jpg"
1770,drawing,"https://api.nga.gov/iiif/98fa0fad-978f-480b-afed-bb5f4ab889e5/full/!200,200/0/default.jpg"
1575,drawing,"https://api.nga.gov/iiif/fb0993b0-66ef-4925-ac1b-566da3b4c5a0/full/!200,200/0/default.jpg"
1700,drawing,"https://api.nga.gov/iiif/59e299ad-afce-4ea0-8250-2479ca8c7b1f/full/!200,200/0/default.jpg"
1897,print,"https://api.nga.gov/iiif/ae131386-cbfe-458b-8ddc-099dd5d2a809/full/!200,200/0/default.jpg"
1515,drawing,"https://api.nga.gov/iiif/2c3bfda9-7c3f-4cc5-b8e7-c7b0ae915e0b/full/!200,200/0/default.jpg"
1800,print,"https://api.nga.gov/iiif/847fe489-62da-4ba8-9677-221c9fa69a7b/full/!200,200/0/default.jpg"
1500,painting,"https://api.nga.gov/iiif/5ad6aa5a-2908-4db6-96f3-2866e0a2c754/full/!200,200/0/default.jpg"
1887,photograph,"https://api.nga.gov/iiif/3a3cc33e-f7d1-4cba-8821-70d74dbe8fc2/full/!200,200/0/default.jpg"
1700,decorative art,"https://api.nga.gov/iiif/7c31aae1-0fca-4f2d-b60e-d1add882372a/full/!200,200/0/default.jpg"
1500,print,"https://api.nga.gov/iiif/351fcb9c-36fc-45e2-846b-ee9bcf519a41/full/!200,200/0/default.jpg"
1800,volume,"https://api.nga.gov/iiif/85a7f85a-0b67-48fc-9871-087b78e95bcb/full/!200,200/0/default.jpg"
1475,painting,"https://api.nga.gov/iiif/f0155917-ea57-444f-b3ed-d798b9dd942d/full/!200,200/0/default.jpg"
1634,print,"https://api.nga.gov/iiif/c7cb1d25-baba-4dce-9517-04dd85510f4f/full/!200,200/0/default.jpg"
1645,print,"https://api.nga.gov/iiif/8fc2055b-42ff-4022-8c1a-808c8e1ac7ec/full/!200,200/0/default.jpg"
1500,sculpture,"https://api.nga.gov/iiif/009897ae-4f20-4d61-975b-6e16e13d19dd/full/!200,200/0/default.jpg"
1894,print,"https://api.nga.gov/iiif/d21cb7d4-77a3-4990-9a1b-20813379e7fd/full/!200,200/0/default.jpg"
1800,drawing,"https://api.nga.gov/iiif/2611d675-b2a3-417a-836a-4d4a299c6c60/full/!200,200/0/default.jpg"
1887,photograph,"https://api.nga.gov/iiif/6c874237-4168-4031-9e3e-17d2f3e09d68/full/!200,200/0/default.jpg"
1890,drawing,"https://api.nga.gov/iiif/2ca7e1c1-1092-4577-aaca-153883f07a79/full/!200,200/0/default.jpg"
1887,photograph,"https://api.nga.gov/iiif/4dfa9241-7b31-49cf-adcc-2c3423f9f40c/full/!200,200/0/default.jpg"
1884,drawing,"https://api.nga.gov/iiif/a1b58030-bbcf-43f2-933e-04da16852996/full/!200,200/0/default.jpg"
1855,photograph,"https://api.nga.gov/iiif/869449d9-c229-45a7-bae9-6973835f80e7/full/!200,200/0/default.jpg"
1880,sculpture,"https://api.nga.gov/iiif/6995f5c3-64c9-4ed1-9b60-1fd81d8e0c2d/full/!200,200/0/default.jpg"
1895,print,"https://api.nga.gov/iiif/4656f55e-c72d-4ea7-afa2-42923bd18360/full/!200,200/0/default.jpg"
1900,sculpture,"https://api.nga.gov/iiif/028c6810-244f-4203-aad2-0e8705076f66/full/!200,200/0/default.jpg"
1884,drawing,"https://api.nga.gov/iiif/e84a45b9-af90-453e-9be3-3cd05e73d3a2/full/!200,200/0/default.jpg"
