beginyear,hex_color,LightVibrant,DarkVibrant,Muted,LightMuted,DarkMuted,imageurl
1700,"#e54c19",,,,,,"https://api.nga.gov/iiif/a0f8565c-3383-409e-a08d-79b2764b2fdf/full/!800,800/0/default.jpg"
1743,"#9c444c","#d9bfa7","#89533c","#a1635b","#e4d4cc","#423c39","https://api.nga.gov/iiif/fc08298e-0cbd-46b3-9ba3-9fcd15d18474/full/!800,800/0/default.jpg"
1755,"#d484b4","#dcccb4","#622248","#ac947c","#d4c6af",,"https://api.nga.gov/iiif/8451fdac-a5a1-4e6c-8886-246760fa4e76/full/!800,800/0/default.jpg"
1778,"#b3774b","#dcccb4","#66442b","#ac7f5c","#dcccbc","#574234","https://api.nga.gov/iiif/e33728c9-331d-43a5-afce-b6a7d0bf73c0/full/!800,800/0/default.jpg"
1787,"#a93905","#e5c79c","#80320c","#af905b","#ebedde","#5c442c","https://api.nga.gov/iiif/04ae7008-92a9-4320-8aeb-0523e3e6875b/full/!800,800/0/default.jpg"
1450,"#b3753d","#e7be8a","#123c7c","#91896f","#c0b499","#4b4228","https://api.nga.gov/iiif/851eaa44-5707-44d8-910e-42c41c557110/full/!800,800/0/default.jpg"
1475,"#c6a887","#dcbfa3","#5c4424","#7d7c7b","#cabca4","#695440","https://api.nga.gov/iiif/b6179c61-0d93-4c8d-b638-2ac7d3bc7984/full/!800,800/0/default.jpg"
1470,"#ad7316","#f4d491","#8b5d17","#ae8b4e","#c6bfb6","#584829","https://api.nga.gov/iiif/c747c66d-a38d-4cdc-a0a3-9c55930303b8/full/!800,800/0/default.jpg"
1450,"#ad6f51",,,,,,"https://api.nga.gov/iiif/ce6c6c47-dde5-4251-9ed5-42abcbbe29b0/full/!800,800/0/default.jpg"
1450,"#a67f4c","#c4a568","#7e5624","#ad8f60","#c0a57c","#664a31","https://api.nga.gov/iiif/8811d1cb-8e64-43aa-acbb-eb1e69e49764/full/!800,800/0/default.jpg"
1450,"#ad8751",,,,,,"https://api.nga.gov/iiif/894751d7-2c91-4002-88f6-16cd8011b8e1/full/!800,800/0/default.jpg"
1475,"#c74131","#f5d791","#6f1c1b","#a58150","#daceb3","#4b3d37","https://api.nga.gov/iiif/8af6e0ff-0847-4335-8fe3-72702e74fca5/full/!800,800/0/default.jpg"
1470,"#d4944c","#fcd2a8","#78512a","#8b7c64","#cbbd9c","#53453b","https://api.nga.gov/iiif/b75ff3ad-ef8f-4bff-b48f-28ce3d143b7b/full/!800,800/0/default.jpg"
